Company,Product,Inches,Cpu,Ram,Weight,Price_euros
Apple,MacBook Pro,13.3,Intel Core i5 2.9GHz,8GB,1.37kg,1958.9
Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,16GB,3.2kg,1549
Dell,Inspiron 3576,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.14kg,735.07
Lenovo,ThinkPad X1,14,Intel Core i7 6600U 2.6GHz,16GB,1.36kg,2499
Toshiba,Satellite Pro,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,812
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.3kg,713.07
Dell,Inspiron 5770,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,1099
Acer,Aspire A515-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.2kg,745
Lenovo,IdeaPad 320-17ISK,17.3,Intel Core i3 6006U 2GHz,4GB,2.8kg,489
Lenovo,IdeaPad 320-17IKBR,17.3,Intel Core i7 8550U 1.8GHz,8GB,2.8kg,849
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i7 7500U 2.7GHz,6GB,2.8kg,859
Dell,Inspiron 3567,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.25kg,428
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.5kg,829
Lenovo,Ideapad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.2kg,579
Acer,Aspire A517-51G,15.6,Intel Core i7 8550U 1.8GHz,8GB,3kg,951
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),15.6,Intel Core i7 7500U 2.7GHz,12GB,2.15kg,659
Lenovo,Thinkpad T570,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.95kg,1097
Asus,VivoBook S15,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.7kg,977
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.5kg,1179
Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.2kg,659.01
Acer,Chromebook C910-C2ST,15.6,Intel Celeron Dual Core 3205U 1.5GHz,2GB,2.19kg,199
Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3kg,1187
HP,17-BS037cl (i3-6006U/8GB/1TB/W10),17.3,Intel Core i3 6006U 2GHz,8GB,2.54kg,489
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2kg,1829
Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),15.6,Intel Core i5 8250U 1.6GHz,8GB,2.05kg,739
Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,3.2kg,1299
Acer,Aspire A715-71G,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,979
Dell,Precision 7720,17.3,Intel Core i7 7820HQ 2.9GHz,16GB,3.42kg,2884.86
Lenovo,IdeaPad 310-15ABR,15.6,AMD A10-Series 9600P 2.4GHz,6GB,2.4kg,499
Asus,ZenBook UX530UQ-PRO,15.6,Intel Core i7 7500U 2.7GHz,16GB,1.63kg,1468
Asus,VivoBook S14,14,Intel Core i3 7100U 2.4GHz,4GB,1.3kg,509
Asus,Rog GL702VS-GC095T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,2122
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.8kg,649
Lenovo,IdeaPad 320-15IKBN,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.2kg,549
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,1265
Lenovo,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.2kg,359.99
HP,EliteBook x360,13.3,Intel Core i7 7600U 2.8GHz,16GB,1.28kg,1975
Toshiba,Satellite Pro,15.6,Intel Core i7 6500U 2.5GHz,8GB,2.2kg,1043
Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,819
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,469
Lenovo,IdeaPad 720S-13IKB,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.1kg,999
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.21kg,2499
MSI,GE63VR 7RF,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,2099
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),15.6,AMD A8-Series 7410 2.2GHz,8GB,2.23kg,469
Asus,VivoBook Flip,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,1.1kg,275
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.33kg,844
HP,Spectre x360,13.3,Intel Core i7 8550U 1.8GHz,16GB,1.29kg,2449
Lenovo,ThinkPad 13,13.3,Intel Celeron Dual Core 3855U 1.6GHz,4GB,1.45kg,459.9
HP,ProBook 640,14,Intel Core i5 7200U 2.5GHz,8GB,1.95kg,980
Acer,TravelMate B,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,1.4kg,485
HP,Elitebook 840,14,Intel Core i7 7500U 2.7GHz,8GB,1.48kg,1292
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,4GB,2.79kg,589
Asus,ZenBook UX410UA-GV183T,14,Intel Core i7 7500U 2.7GHz,8GB,2kg,1094
HP,ProBook 450,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,902
Acer,Aspire 5,15.6,AMD A12-Series 9720P 2.7GHz,8GB,2.2kg,659
Lenovo,IdeaPad 120S-14IAP,14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.44kg,292
Acer,Aspire E5-575,15.6,Intel Core i5 7200U 2.5GHz,6GB,2.23kg,549
Asus,VivoBook S15,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.7kg,1049.9
HP,Elitebook 820,12.5,Intel Core i7 7500U 2.7GHz,8GB,1.26kg,1335
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,32GB,2.06kg,2639
MSI,GL72M 7REX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1199
Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,943
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,14,Intel Core i7 7500U 2.7GHz,8GB,2kg,1334
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,449
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,999
HP,EliteBook 840,14,Intel Core i5 7300U 2.6GHz,8GB,1.48kg,1268
Dell,Inspiron 7570,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.9kg,1049
HP,Elitebook 850,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.84kg,1144
Asus,X541NA (N3350/4GB/1TB/Linux),15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2kg,274.99
Dell,Inspiron 7570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2kg,1142.75
Dell,Inspiron 3552,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,2.2kg,274.9
Lenovo,IdeaPad 320-15ABR,15.6,AMD A12-Series 9720P 3.6GHz,12GB,2.2kg,899
HP,ProBook 450,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.1kg,716
Lenovo,Yoga 920-13IKB,13.9,Intel Core i7 8550U 1.8GHz,16GB,1.4kg,2099
Dell,XPS 13,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.2kg,1579
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.4kg,1129
HP,Stream 14-AX001nv,14,Intel Celeron Dual Core N3060 1.6GHz,2GB,1.44kg,279
Dell,Latitude 5590,15.6,Intel Core i7 8650U 1.9GHz,16GB,1.88kg,1607.96
Asus,VivoBook Flip,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.5kg,375
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,1.9kg,663
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,2027.42
HP,Elitebook 850,15.6,Intel Core i7 7500U 2.7GHz,8GB,1.84kg,1304
MSI,GP72MVR 7RFX,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1409
HP,Zbook 15,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.6kg,1738.27
Toshiba,Tecra A50-C-21G,15.6,Intel Core i7 6500U 2.5GHz,16GB,2.4kg,1403
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,970.9
Lenovo,IdeaPad 320-15IAP,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.2kg,321.99
Dell,Inspiron 7577,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.65kg,999
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.36kg,557.37
Dell,Latitude 7480,14,Intel Core i5 7300U 2.6GHz,8GB,1.36kg,1427
HP,250 G6,15.6,Intel Core i3 6006U 2GHz,4GB,1.86kg,439
Asus,Zenbook UX410UA-GV027T,14,Intel Core i5 7200U 2.5GHz,8GB,2kg,945
Lenovo,IdeaPad 320-17IKB,17.3,Intel Core i5 7200U 2.5GHz,6GB,2.8kg,719
HP,250 G6,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.86kg,639
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,499
HP,15-AY023na (N3710/8GB/2TB/W10),15.6,Intel Pentium Quad Core N3710 1.6GHz,8GB,2.04kg,389
Dell,Inspiron 5770,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,1085
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.4kg,809
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.33kg,899
HP,Elitebook 1040,14,Intel Core i7 7500U 2.7GHz,8GB,1.36kg,1750
Asus,ZenBook Flip,15.6,Intel Core i7 7500U 2.7GHz,12GB,2.26kg,1099
Acer,Aspire 3,15.6,AMD A9-Series 9420 3GHz,4GB,2.1kg,426
Asus,Rog Strix,17.3,AMD Ryzen 1700 3GHz,16GB,3.25kg,2199
Lenovo,IdeaPad 110-17ACL,17.3,AMD A8-Series 7410 2.2GHz,4GB,2.6kg,489
Dell,Inspiron 5379,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.62kg,869.01
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),15.6,AMD A9-Series 9420 3GHz,4GB,1.91kg,488.99
Lenovo,Yoga 11e,11.6,Intel Celeron Quad Core N3450 1.1GHz,4GB,1.59kg,553
Dell,Inspiron 3552,15.6,Intel Celeron Dual Core N3060 1.60GHz,4GB,1.8kg,309
Asus,VivoBook E403NA,14,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.5kg,286
Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,846
HP,Omen 17-w212nv,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3.35kg,1191
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,15.6,Intel Core i3 6006U 2GHz,4GB,1.85kg,403.5
Asus,ROG Strix,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.3kg,1655
Lenovo,IdeaPad 720S-14IKB,14,Intel Core i5 7200U 2.5GHz,8GB,1.5kg,1099
Asus,Zenbook Flip,13.3,Intel Core i7 7500U 2.7GHz,16GB,1.1kg,1748.9
Lenovo,Thinkpad X1,14,Intel Core i7 7500U 2.7GHz,8GB,1.13kg,2282
Lenovo,Ideapad 510S-13IKB,13.3,Intel Core i3 7100U 2.4GHz,4GB,1.5kg,549
Dell,Precision 3510,15.6,Intel Core i5 6440HQ 2.6GHz,8GB,2.23kg,1369
Dell,Precision 5520,15.6,Intel Core i7 6820HQ 2.7GHz,8GB,2kg,2135
Lenovo,ThinkPad X1,14,Intel Core i7 7500U 2.7GHz,16GB,1.42kg,2509
Asus,Rog GL753VD-GC042T,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,3kg,1039
Asus,Rog GL753VE-GC070T,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3kg,1591
Acer,Aspire 5,15.6,Intel Core i5 8250U 1.6GHz,12GB,2.2kg,693.99
MSI,Leopard GP72M,17.3,Intel Core i7 7700HQ 2.8GHz,8GB,2.7kg,1349
Dell,Inspiron 5567,15.6,Intel Core i7 7500U 2.7GHz,8GB,2.33kg,778.87
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,15.6,AMD A9-Series 9420 3GHz,4GB,1.91kg,499
Lenovo,ThinkPad E580,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.1kg,1229.56
Lenovo,ThinkPad L470,14,Intel Core i5 7200U 2.5GHz,8GB,1.9kg,938
Dell,Precision M5520,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1.78kg,2712
Lenovo,Thinkpad X1,14,Intel Core i7 7500U 2.7GHz,16GB,1.13kg,2625
Lenovo,IdeaPad 320-15IAP,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.2kg,306
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.9kg,1529
Lenovo,ThinkPad E580,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.1kg,1144.5
Acer,Aspire 7,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.5kg,879
MSI,GE73VR 7RF,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,2.8kg,2249
Asus,Zenbook 3,14,Intel Core i7 7500U 2.7GHz,8GB,1.10kg,1873
Toshiba,Portege Z30-C-16P,13.3,Intel Core i7 6500U 2.5GHz,16GB,1.2kg,1747
Dell,Latitude 7480,14,Intel Core i7 7600U 2.8GHz,8GB,1.36kg,1680
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,409
Lenovo,Lenovo IdeaPad,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,1.15kg,304.45
Lenovo,ThinkPad P51,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.67kg,1925
Lenovo,Thinkpad T470p,14,Intel Core i7 7700HQ 2.8GHz,8GB,1.7kg,1943
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,15.6,Intel Core i3 6006U 2GHz,4GB,2.1kg,469
Acer,Aspire R7,13.3,Intel Core i7 6500U 2.5GHz,8GB,1.6kg,789.01
Asus,ZenBook Flip,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.27kg,928
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,598.9
Dell,Latitude 3380,13.3,Intel Core i3 6006U 2GHz,4GB,1.65kg,689
HP,EliteBook 1040,14,Intel Core i7 6500U 2.5GHz,8GB,1.43kg,1500
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.14kg,539.95
Lenovo,ThinkPad E480,14,Intel Core i7 8550U 1.8GHz,8GB,1.75kg,1215.38
Lenovo,Yoga 720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2kg,1899
Chuwi,LapBook 12.3,12.3,Intel Celeron Quad Core N3450 1.1GHz,6GB,1.4kg,449
HP,ProBook 650,15.6,Intel Core i7 7820HQ 2.9GHz,8GB,2.31kg,1427
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,15.6,Intel Core i3 7100U 2.4GHz,8GB,2.3kg,597
Dell,Alienware 17,17.3,Intel Core i7 7820HK 2.9GHz,16GB,4.42kg,2799
Dell,Inspiron 7577,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.62kg,1159
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.02kg,1142.4
Dell,Latitude 5480,14,Intel Core i7 7600U 2.8GHz,8GB,1.6kg,1099
HP,Omen 17-w207nv,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,3.35kg,1999
Mediacom,FlexBook Edge,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.16kg,299
Samsung,Chromebook 3,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.15kg,269
Lenovo,Thinkpad 13,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.4kg,1010
Lenovo,IdeaPad 320s-14IKB,14,Intel Core i3 7130U 2.7GHz,4GB,1.7kg,599
Lenovo,Thinkpad T570,15.6,Intel Core i7 7600U 2.8GHz,16GB,2.3kg,2445
Lenovo,Thinkpad P51,15.6,Intel Core i7 7820HQ 2.9GHz,16GB,2.5kg,2449
Asus,Rog Strix,17.3,AMD Ryzen 1600 3.2GHz,8GB,3.2kg,1695
HP,15-ra044nv (N3060/4GB/500GB/W10),15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,2.1kg,347
Google,Pixelbook (Core,12.3,Intel Core i7 7Y75 1.3GHz,16GB,1.1kg,2199
Lenovo,ThinkPad T470s,14,Intel Core i7 7500U 2.7GHz,24GB,1.32kg,2382
Asus,VivoBook Max,15.6,Intel Core i5 7200U 2.5GHz,4GB,2kg,559
Lenovo,IdeaPad 320-15AST,17.3,AMD A6-Series 9220 2.5GHz,8GB,2.8kg,519
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.2kg,749
Lenovo,ThinkPad X270,12.5,Intel Core i5 7200U 2.5GHz,8GB,1.36kg,1429
Lenovo,IdeaPad 320-15IAP,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2.2kg,349
HP,Omen 15-AX205na,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.2kg,1099
Dell,Latitude 5480,14,Intel Core i5 7440HQ 2.8GHz,8GB,1.64kg,1179
Acer,Aspire ES1-572,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.4kg,441.8
Dell,Precision 3520,15.6,Intel Xeon E3-1505M V6 3GHz,8GB,2.23kg,1993
MSI,GV62 7RD-1686NL,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.2kg,1027.74
Microsoft,Surface Laptop,13.5,Intel Core i7 7660U 2.5GHz,16GB,1.25kg,2589
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),15.6,Intel Core i5 7200U 2.5GHz,8GB,1.91kg,589
Dell,Precision 3520,15.6,Intel Core i7 6820HQ 2.7GHz,16GB,2.17kg,1975
HP,ProBook 650,15.6,Intel Core i7 7820HQ 2.9GHz,8GB,2.31kg,1534
Lenovo,ThinkPad T470,14,Intel Core i5 7200U 2.5GHz,8GB,1.65kg,1345
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.36kg,979
Dell,Inspiron 3168,11.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,1.47kg,479
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.7GHz,8GB,4.42kg,2046
Microsoft,Surface Laptop,13.5,Intel Core M m3-7Y30 2.2GHz,4GB,1.252kg,989
Microsoft,Surface Laptop,13.5,Intel Core i7 7660U 2.5GHz,8GB,1.25kg,1799
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),17.3,Intel Core i3 6006U 2GHz,8GB,2.5kg,639.9
Acer,Aspire E5-576G,15.6,Intel Core i3 6006U 2GHz,4GB,2.23kg,544
Acer,TravelMate B,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.4kg,435
Asus,Pro P2540UA-AB51,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.37kg,749
Lenovo,IdeaPad 510s-14IKB,14,Intel Core i7 7500U 2.7GHz,8GB,1.5kg,799
Lenovo,Thinkpad P51,15.6,Intel Core i7 7820HQ 2.9GHz,8GB,2.67kg,2090
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,2kg,304
Acer,Aspire 5,15.6,Intel Core i3 6006U 2GHz,4GB,2.2kg,469
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.02kg,759
HP,Omen 17-an006nv,17.3,Intel Core i7 7700HQ 2.8GHz,12GB,3.78kg,1699
Lenovo,Thinkpad T460s,14,Intel Core i7 6600U 2.6GHz,12GB,1.4kg,1858
HP,Spectre x360,13.3,Intel Core i7 8550U 1.8GHz,8GB,1.29kg,1999
HP,ZBook 15u,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.9kg,1154
Google,Pixelbook (Core,12.3,Intel Core i5 7Y57 1.2GHz,8GB,1.1kg,1275
Dell,Latitude 7390,13.3,Intel Core i5 8250U 1.6GHz,8GB,1.42kg,1841.85
Asus,ZenBook Pro,15.6,Intel Core i7 6700HQ 2.6GHz,12GB,2.06kg,1299
Dell,Latitude E5470,14,Intel Core i3 6100U 2.3GHz,8GB,1.79kg,740
Dell,Precision M5520,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1.78kg,2408
Lenovo,Thinkpad T470,14,Intel Core i5 7200U 2.5GHz,8GB,1.7kg,1364
Dell,Inspiron 3576,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,675
Toshiba,Portege X30-D-10J,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.05kg,1672
Dell,Inspiron 7570,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.16kg,1262
Dell,Vostro 3568,15.6,Intel Core i3 7100U 2.4GHz,4GB,2.18kg,586.6
HP,ProBook 430,13.3,Intel Core i5 8250U 1.6GHz,4GB,1.49kg,726
Chuwi,"Lapbook 15,6",15.6,Intel Atom x5-Z8350 1.44GHz,4GB,1.89kg,248.9
Lenovo,ThinkPad E570,15.6,Intel Core i3 6006U 2.0GHz,4GB,2.3kg,565
Lenovo,ThinkPad E480,14,Intel Core i5 8250U 1.6GHz,8GB,1.75kg,1049
Dell,Precision 3520,15.6,Intel Core i7 6820HQ 2.7GHz,16GB,2.17kg,2338
Dell,XPS 15,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,2.06kg,1899
Lenovo,Thinkpad X270,12.5,Intel Core i7 7500U 2.7GHz,16GB,1.36kg,1798
Asus,Zenbook UX390UA,12.5,Intel Core i7 7500U 2.7GHz,16GB,0.91kg,1950
Lenovo,Thinkpad E570,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,1011.99
Toshiba,Portege X30-D-10L,13.3,Intel Core i7 7500U 2.7GHz,32GB,1.05kg,2799
Asus,VivoBook Pro,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1.99kg,1350
Acer,Aspire 5,15.6,AMD A10-Series 9620P 2.5GHz,8GB,2.2kg,579
Asus,Rog G752VL-UH71T,17.3,Intel Core i7 6700HQ 2.6GHz,24GB,4.33kg,1269
Lenovo,Thinkpad X260,12.5,Intel Core i5 6200U 2.3GHz,8GB,1.3kg,1099
Lenovo,Ideapad 520-15IKBR,15.6,Intel Core i7 8550U 1.8GHz,8GB,2.17kg,898.9
HP,EliteBook 840,14,Intel Core i7 7600U 2.8GHz,8GB,1.48kg,1749
Lenovo,ThinkPad 13,13.3,Intel Core i3 7100U 2.4GHz,8GB,1.4kg,949
Lenovo,ThinkPad L570,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.3kg,911
Asus,VivoBook E201NA,11.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1.2kg,340
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,15.6,Intel Core i5 7200U 2.5GHz,8GB,1.91kg,618.99
Lenovo,Yoga 920-13IKB,13.9,Intel Core i5 8250U 1.6GHz,8GB,1.4kg,1599
Lenovo,IdeaPad 320-14IAP,14,Intel Celeron Dual Core N3350 1.1GHz,4GB,2.1kg,299
Lenovo,Chromebook N23,11.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,1.25kg,265
Lenovo,ThinkPad 13,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.44kg,949
Asus,ZenBook UX510UX-CN211T,15.6,Intel Core i7 7500U 2.7GHz,8GB,2kg,1224
Acer,Aspire A515-51G-59QF,15.6,Intel Core i5 8250U 1.6GHz,4GB,2.2kg,613
HP,Envy 13-AB002nv,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.34kg,1323
Lenovo,Legion Y520-15IKBN,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,2.4kg,1149
Dell,XPS 13,13.3,Intel Core i5 7200U 2.5GHz,8GB,1.29kg,899
Acer,Aspire A515-51G,15.6,Intel Core i7 7500U 2.7GHz,4GB,2.2kg,639
Dell,Vostro 5568,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.18kg,836
Dell,Inspiron 5570,15.6,Intel Core i7 8550U 1.8GHz,16GB,2.2kg,1219.24
Xiaomi,Mi Notebook,15.6,Intel Core i7 8550U 1.8GHz,16GB,1.95kg,1399.95
Asus,VivoBook E12,11.6,Intel Celeron Dual Core N3350 1.1GHz,2GB,1.1kg,245
HP,15-bs190od (i5-8250U/4GB/1TB/W10),15.6,Intel Core i5 8250U 1.6GHz,4GB,2.04kg,521.47
Asus,ROG Zephyrus,15.6,Intel Core i7 7700HQ 2.8GHz,24GB,2.24kg,2968
HP,Probook 450,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.04kg,889
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,3kg,1504
Lenovo,Legion Y720-15IKB,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,3.2kg,1399
HP,Spectre X360,13.3,Intel Core i7 7500U 2.7GHz,8GB,1.32kg,1399
Dell,Latitude 5480,14,Intel Core i5 7300U 2.6GHz,8GB,1.64kg,1279.73
HP,ProBook 440,15.6,Intel Core i3 6006U 2GHz,4GB,1.63kg,689
Dell,Inspiron 5770,17.3,Intel Core i5 8250U 1.6GHz,8GB,2.8kg,889
Lenovo,ThinkPad L470,14,Intel Core i5 6200U 2.3GHz,8GB,2.02kg,1340
Lenovo,IdeaPad 320-15IKB,15.6,Intel Core i7 7500U 2.7GHz,4GB,2.2kg,799
Lenovo,IdeaPad 320-15ISK,15.6,Intel Core i3 6006U 2GHz,8GB,2.2kg,459
Dell,Inspiron 3567,15.6,Intel Core i5 7200U 2.5GHz,4GB,2.3kg,585
Dell,Latitude 5580,15.6,Intel Core i5 7440HQ 2.8GHz,8GB,1.9kg,1377
Dell,Alienware 17,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,4.42kg,3012.77
Toshiba,Satellite Pro,15.6,Intel Core i5 7200U 2.5GHz,8GB,2.0kg,860
Asus,Zenbook UX510UW-FI095T,15.6,Intel Core i7 7500U 2.7GHz,8GB,2kg,1299
Mediacom,SmartBook Edge,13.3,Intel Celeron Quad Core N3450 1.1GHz,4GB,1.2kg,369
Asus,ROG Strix,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,2.3kg,1649
Dell,Latitude 5580,15.6,Intel Core i7 7600U 2.8GHz,8GB,1.93kg,1369
Dell,Inspiron 5570,15.6,Intel Core i5 8250U 1.6GHz,8GB,2.2kg,797.41
HP,250 G6,15.6,Intel Pentium Quad Core N3710 1.6GHz,4GB,1.86kg,398.99
